"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jimmy Graham (NO)","85","135","982","11.6","46","12","9","0","0","0","0","15","194.7","13.0","0.3%"
"2","Tony Gonzalez (FA)","93","124","930","10.0","25","3","8","0","0","0","0","16","187.5","11.7","0.0%"
"3","Jason Witten (FA)","110","149","1,039","9.4","36","8","3","0","0","0","0","16","176.9","11.1","0.0%"
"4","Rob Gronkowski (FA)","55","80","790","14.4","41","13","11","0","0","0","1","11","170.5","15.5","1.1%"
"5","Heath Miller (FA)","71","101","816","11.5","43","11","8","0","0","0","0","15","167.1","11.1","0.0%"
"6","Greg Olsen (FA)","69","104","843","12.2","47","11","5","0","0","0","0","16","148.8","9.3","7.0%"
"7","Brandon Myers (FA)","79","105","806","10.2","29","9","4","0","0","0","0","16","144.1","9.0","0.0%"
"8","Dennis Pitta (FA)","61","94","669","11.0","61","8","7","0","0","0","0","16","139.4","8.7","0.0%"
"9","Owen Daniels (FA)","62","104","716","11.5","39","7","6","0","0","0","0","15","138.6","9.2","0.0%"
"10","Jermaine Gresham (FA)","64","94","737","11.5","55","8","5","0","0","0","1","16","133.7","8.4","0.0%"
"11","Kyle Rudolph (FA)","53","94","493","9.3","29","5","9","0","0","0","0","16","131.8","8.2","0.0%"
"12","Antonio Gates (FA)","49","80","538","11.0","34","5","7","0","0","0","0","15","120.3","8.0","0.2%"
"13","Martellus Bennett (FA)","55","90","626","11.4","33","7","5","0","0","0","0","16","120.1","7.5","23.0%"
"14","Scott Chandler (FA)","43","74","571","13.3","43","10","6","0","0","0","1","15","112.6","7.5","0.0%"
"15","Jermichael Finley (FA)","61","87","667","10.9","40","10","2","0","0","0","1","16","107.2","6.7","0.0%"
"16","Vernon Davis (FA)","41","61","548","13.4","53","12","5","0","0","0","0","16","105.3","6.6","1.6%"
"17","Aaron Hernandez (FA)","51","83","483","9.5","31","5","5","1","5","0","0","10","104.3","10.4","0.0%"
"18","Marcedes Lewis (CHI)","52","77","540","10.4","26","9","4","0","0","0","0","16","104.0","6.5","0.0%"
"19","Brent Celek (FA)","57","88","684","12.0","34","10","1","0","0","0","1","15","100.9","6.7","0.0%"
"20","Brandon Pettigrew (FA)","59","102","567","9.6","24","3","3","0","0","0","2","14","100.2","7.2","0.0%"
"21","Lance Kendricks (FA)","42","64","519","12.4","80","6","4","0","0","0","0","16","98.9","6.2","0.0%"
"22","Jared Cook (FA)","44","72","523","11.9","61","8","4","0","0","0","1","13","96.3","7.4","0.0%"
"23","Jacob Tamme (FA)","52","84","555","10.7","36","6","2","0","0","0","0","16","93.5","5.8","0.0%"
"24","Dwayne Allen (FA)","45","66","521","11.6","40","9","3","3","5","0","0","16","93.1","5.8","0.0%"
"25","Benjamin Watson (FA)","49","81","501","10.2","27","5","3","0","0","0","0","16","92.6","5.8","2.8%"
"26","Dallas Clark (FA)","47","75","435","9.3","33","4","4","0","0","0","0","16","91.0","5.7","0.0%"
"27","Joel Dreessen (FA)","41","58","356","8.7","30","4","5","0","0","0","0","16","86.1","5.4","0.0%"
"28","Anthony Fasano (FA)","41","69","332","8.1","22","1","5","0","0","0","0","16","85.7","5.4","0.1%"
"29","Tony Scheffler (FA)","42","85","504","12.0","57","6","1","0","0","0","0","15","77.4","5.2","0.0%"
"30","Zach Miller (FA)","38","53","396","10.4","30","7","3","0","0","0","1","16","74.6","4.7","0.0%"
"31","James Casey (FA)","34","44","330","9.7","30","3","3","1","6","0","0","16","68.6","4.3","0.0%"
"32","Jeff Cumberland (FA)","29","53","359","12.4","39","6","3","0","0","0","0","15","68.4","4.6","0.0%"
"33","Tony Moeaki (FA)","33","56","453","13.7","38","7","1","0","0","0","0","15","67.8","4.5","0.0%"
"34","Rob Housler (FA)","45","68","417","9.3","33","5","0","0","0","0","0","15","64.2","4.3","0.0%"
"35","Delanie Walker (FA)","21","39","344","16.4","45","9","3","0","0","0","1","16","60.9","3.8","0.1%"
"36","Garrett Graham (FA)","28","40","263","9.4","30","3","3","0","0","0","0","15","58.3","3.9","0.0%"
"37","Dustin Keller (FA)","28","36","317","11.3","32","6","2","0","0","0","0","8","57.7","7.2","0.0%"
"38","Anthony McCoy (FA)","18","28","291","16.2","67","5","3","0","0","0","0","16","56.1","3.5","0.0%"
"39","Coby Fleener (FA)","26","48","281","10.8","26","5","2","0","0","0","0","12","53.1","4.4","0.0%"
"40","Logan Paulsen (FA)","25","37","308","12.3","31","3","1","0","0","0","0","16","49.3","3.1","0.0%"
"41","Craig Stevens (FA)","23","33","275","12.0","46","2","1","0","0","0","0","15","45.0","3.0","0.0%"
"42","Fred Davis (FA)","24","32","325","13.5","29","4","0","1","1","0","0","7","44.6","6.4","0.0%"
"43","Kellen Davis (FA)","19","44","229","12.1","25","3","2","0","0","0","1","16","42.4","2.7","0.2%"
"44","Tom Crabtree (FA)","8","12","203","25.4","72","3","3","0","0","0","0","14","42.3","3.0","0.0%"
"45","Charles Clay (FA)","18","33","212","11.8","31","4","2","0","0","0","0","14","42.2","3.0","0.0%"
"46","Clay Harbor (FA)","25","39","186","7.4","19","0","2","0","0","0","1","14","41.1","2.9","0.0%"
"47","Jordan Cameron (FA)","20","40","226","11.3","28","4","1","0","0","0","0","14","38.6","2.8","0.1%"
"48","David Thomas (FA)","11","17","86","7.8","20","1","4","0","0","0","0","10","38.1","3.8","0.0%"
"49","Ed Dickson (FA)","21","33","225","10.7","40","2","0","0","0","0","0","13","33.0","2.5","0.0%"
"50","Luke Stocker (FA)","16","28","165","10.3","33","2","1","0","0","0","0","16","30.5","1.9","0.0%"
"51","Dante Rosario (FA)","10","18","95","9.5","18","0","3","0","0","0","1","13","30.5","2.3","0.0%"
