"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Calvin Johnson (FA)","122","204","1,964","16.1","53","40","5","0","0","0","3","16","281.4","17.6","0.1%"
"2","Brandon Marshall (FA)","118","194","1,508","12.8","56","18","11","1","-2","0","0","16","275.6","17.2","2.6%"
"3","Dez Bryant (FA)","92","138","1,382","15.0","85","19","12","2","-5","0","2","16","253.7","15.9","2.6%"
"4","A.J. Green (FA)","97","164","1,350","13.9","73","16","11","4","38","0","1","16","251.3","15.7","1.0%"
"5","Demaryius Thomas (FA)","94","141","1,434","15.3","71","29","10","0","0","0","3","16","244.4","15.3","0.1%"
"6","Andre Johnson (FA)","112","163","1,598","14.3","60","23","4","0","0","0","0","16","239.8","15.0","0.0%"
"7","Wes Welker (FA)","118","175","1,354","11.5","59","13","6","2","20","0","1","16","230.4","14.4","0.0%"
"8","Eric Decker (FA)","85","122","1,064","12.5","55","11","13","0","0","0","0","16","226.9","14.2","0.6%"
"9","Vincent Jackson (FA)","72","147","1,384","19.2","95","24","8","0","0","0","0","16","224.4","14.0","0.0%"
"10","Roddy White (FA)","92","143","1,351","14.7","59","18","7","0","0","0","0","16","223.1","13.9","0.0%"
"11","Julio Jones (FA)","79","129","1,198","15.2","80","17","10","6","30","0","0","16","222.3","13.9","7.1%"
"12","Reggie Wayne (FA)","106","195","1,355","12.8","33","22","5","1","-5","0","1","16","216.0","13.5","0.0%"
"13","Marques Colston (FA)","83","130","1,154","13.9","60","15","10","0","0","0","2","16","212.9","13.3","0.0%"
"14","Victor Cruz (FA)","86","143","1,092","12.7","80","12","10","0","0","0","0","16","212.2","13.3","0.1%"
"15","Michael Crabtree (FA)","85","126","1,105","13.0","49","15","9","1","8","0","0","16","207.8","13.0","0.0%"
"16","Randall Cobb (NYJ)","80","104","954","11.9","39","17","8","10","132","0","1","15","194.6","13.0","0.7%"
"17","James Jones (FA)","64","98","784","12.3","49","11","14","0","0","0","0","16","194.4","12.2","0.0%"
"18","Mike Williams (FA)","63","126","996","15.8","65","17","9","0","0","0","0","16","186.2","11.6","0.0%"
"19","Steve Smith (FA)","73","138","1,174","16.1","66","17","4","3","27","0","1","16","178.6","11.2","0.0%"
"20","Steve Johnson (FA)","79","148","1,046","13.2","63","12","6","0","0","0","1","16","178.1","11.1","0.0%"
"21","Lance Moore (FA)","65","104","1,041","16.0","51","14","6","0","0","0","0","15","172.6","11.5","0.0%"
"22","Cecil Shorts (FA)","55","105","979","17.8","80","17","7","1","-4","0","1","14","165.0","11.8","0.0%"
"23","Mike Wallace (FA)","64","119","836","13.1","82","9","8","5","7","0","1","15","162.3","10.8","0.0%"
"24","Miles Austin (FA)","66","119","943","14.3","49","13","6","0","0","0","1","16","161.3","10.1","0.0%"
"25","Jeremy Maclin (FA)","69","122","857","12.4","70","12","7","0","0","0","1","15","160.2","10.7","0.0%"
"26","Torrey Smith (FA)","49","110","855","17.4","54","16","8","3","9","0","0","16","158.9","9.9","0.0%"
"27","T.Y. Hilton (FA)","50","90","861","17.2","70","13","7","5","29","0","0","15","156.0","10.4","3.0%"
"28","Justin Blackmon (FA)","64","132","865","13.5","81","9","5","2","23","0","0","16","152.8","9.6","0.0%"
"29","Brandon Lloyd (FA)","74","130","911","12.3","53","10","4","0","0","0","0","16","152.1","9.5","0.0%"
"30","Anquan Boldin (FA)","65","112","921","14.2","43","17","4","1","3","0","0","15","150.9","10.1","0.1%"
"31","Brian Hartline (FA)","74","131","1,083","14.6","80","14","1","0","0","0","1","16","149.3","9.3","0.0%"
"32","Sidney Rice (FA)","50","82","748","15.0","46","11","7","2","6","0","0","16","143.4","9.0","0.0%"
"33","Jordy Nelson (FA)","49","73","745","15.2","73","8","7","0","0","0","0","12","143.0","11.9","0.1%"
"34","Denarius Moore (FA)","51","114","741","14.5","58","12","7","1","-5","0","0","15","141.1","9.4","0.0%"
"35","Andre Roberts (FA)","64","114","759","11.9","46","10","5","4","29","0","0","15","140.8","9.4","0.0%"
"36","Malcom Floyd (FA)","56","85","814","14.5","39","15","5","0","0","0","0","14","139.4","10.0","0.0%"
"37","Larry Fitzgerald (FA)","71","156","798","11.2","37","9","4","0","0","0","0","16","139.3","8.7","0.2%"
"38","Golden Tate (FA)","45","67","688","15.3","51","12","7","3","20","0","1","15","138.2","9.2","0.0%"
"39","Antonio Brown (FA)","66","106","787","11.9","60","10","5","7","24","0","2","13","138.1","10.6","0.2%"
"40","Josh Gordon (FA)","50","95","805","16.1","71","12","5","0","0","0","1","16","133.5","8.3","0.0%"
"41","Percy Harvin (FA)","62","85","677","10.9","45","8","3","22","96","1","1","9","130.3","14.5","0.1%"
"42","Donnie Avery (FA)","60","126","781","13.0","48","9","3","4","9","0","0","16","127.0","7.9","0.0%"
"43","Danario Alexander (FA)","37","62","658","17.8","80","9","7","0","0","0","0","10","126.3","12.6","0.0%"
"44","Dwayne Bowe (FA)","59","114","801","13.6","47","11","3","0","0","0","1","13","125.6","9.7","0.0%"
"45","Santana Moss (FA)","41","62","573","14.0","77","10","8","3","14","0","1","16","125.2","7.8","0.0%"
"46","Brandon Gibson (FA)","51","82","691","13.5","34","9","5","0","0","0","0","16","124.6","7.8","0.0%"
"47","Nate Washington (FA)","46","90","746","16.2","71","14","4","0","0","0","0","16","121.6","7.6","0.0%"
"48","Jeremy Kerley (FA)","56","96","827","14.8","66","14","2","5","8","0","3","16","119.2","7.5","0.0%"
