"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Le'Veon Bell (FA)","290","1,361","4.7","81","8","8","83","105","854","10.3","3","0","16","329.0","20.6","0.1%"
"2","DeMarco Murray (FA)","392","1,845","4.7","51","15","13","57","64","416","7.3","0","5","16","322.6","20.2","0.1%"
"3","Matt Forte (FA)","266","1,038","3.9","32","1","6","102","130","808","7.9","4","2","16","295.6","18.5","19.1%"
"4","Marshawn Lynch (FA)","280","1,306","4.7","79","7","13","37","48","367","9.9","4","2","16","283.8","17.7","0.3%"
"5","Arian Foster (FA)","260","1,246","4.8","51","9","8","38","59","327","8.6","5","2","13","254.5","19.6","0.0%"
"6","Eddie Lacy (FA)","246","1,139","4.6","44","8","9","42","55","427","10.2","4","2","16","251.6","15.7","0.3%"
"7","Jamaal Charles (FA)","206","1,033","5.0","63","6","9","40","59","291","7.3","5","3","15","230.4","15.4","0.1%"
"8","Justin Forsett (FA)","235","1,266","5.4","52","17","8","44","59","263","6.0","0","0","16","224.9","14.1","0.0%"
"9","Lamar Miller (FA)","216","1,099","5.1","97","9","8","38","52","275","7.2","1","3","16","204.4","12.8","0.0%"
"10","Jeremy Hill (FA)","222","1,124","5.1","85","8","9","27","32","215","8.0","0","2","16","197.4","12.3","0.0%"
"11","C.J. Anderson (FA)","179","849","4.7","27","7","8","34","44","324","9.5","2","0","15","194.3","13.0","1.0%"
"12","LeSean McCoy (FA)","312","1,319","4.2","53","9","5","28","37","155","5.5","0","3","16","185.4","11.6","2.0%"
"13","Joique Bell (FA)","223","860","3.9","57","5","7","34","53","322","9.5","1","1","15","181.2","12.1","0.2%"
"14","Alfred Morris (FA)","265","1,074","4.1","30","9","8","17","26","155","9.1","0","0","16","179.4","11.2","0.0%"
"15","Mark Ingram II (FA)","226","964","4.3","31","5","9","29","36","145","5.0","0","1","13","177.4","13.6","0.1%"
"16","Matt Asiata (FA)","164","570","3.5","19","0","9","44","63","312","7.1","1","1","15","172.2","11.5","0.0%"
"17","Giovani Bernard (FA)","168","680","4.0","89","2","5","43","59","349","8.1","2","0","13","166.4","12.8","0.0%"
"18","Fred Jackson (FA)","141","525","3.7","38","1","2","66","90","501","7.6","1","0","14","155.6","11.1","0.0%"
"19","Andre Ellington (FA)","201","660","3.3","22","4","3","46","64","395","8.6","2","2","12","154.5","12.9","0.1%"
