"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rob Gronkowski (FA)","82","131","1,124","13.7","46","19","12","0","0","0","0","15","225.4","15.0","1.1%"
"2","Antonio Gates (FA)","69","98","821","11.9","34","12","12","0","0","0","0","16","188.6","11.8","0.2%"
"3","Jimmy Graham (NO)","85","124","889","10.5","29","8","10","0","0","0","2","16","187.4","11.7","0.3%"
"4","Greg Olsen (FA)","84","123","1,008","12.0","38","9","6","0","0","0","0","16","178.8","11.2","7.0%"
"5","Martellus Bennett (FA)","90","128","916","10.2","37","11","6","0","0","0","0","16","176.6","11.0","23.0%"
"6","Coby Fleener (FA)","51","92","774","15.2","73","16","8","0","0","0","0","16","150.9","9.4","0.0%"
"7","Delanie Walker (FA)","63","106","890","14.1","68","13","4","0","0","0","0","15","144.5","9.6","0.1%"
"8","Travis Kelce (KC)","67","87","862","12.9","34","15","5","0","0","0","3","16","143.7","9.0","100.0%"
"9","Julius Thomas (FA)","43","62","489","11.4","35","7","12","0","0","0","0","13","142.4","11.0","0.0%"
"10","Jason Witten (FA)","64","90","703","11.0","34","7","5","0","0","0","0","16","132.3","8.3","0.0%"
"11","Heath Miller (FA)","66","91","761","11.5","49","8","3","0","0","0","1","16","127.1","7.9","0.0%"
"12","Larry Donnell (FA)","63","92","623","9.9","32","5","6","0","0","0","4","16","121.8","7.6","0.0%"
"13","Zach Ertz (ARI)","58","89","702","12.1","35","9","3","0","0","0","1","16","115.2","7.2","20.7%"
"14","Charles Clay (FA)","58","84","605","10.4","41","9","3","0","0","0","0","14","107.5","7.7","0.0%"
"15","Jared Cook (FA)","52","99","634","12.2","59","7","3","1","0","0","0","16","107.4","6.7","0.0%"
"16","Jermaine Gresham (FA)","62","79","460","7.4","23","2","5","0","0","0","0","15","107.0","7.1","0.0%"
"17","Mychal Rivera (FA)","58","99","534","9.2","33","6","4","0","0","0","1","16","104.4","6.5","0.2%"
"18","Dwayne Allen (FA)","29","50","395","13.6","41","6","8","0","0","0","0","13","102.0","7.8","0.0%"
"19","Owen Daniels (FA)","48","79","527","11.0","39","5","4","0","0","0","0","15","100.7","6.7","0.0%"
"20","Scott Chandler (FA)","47","70","497","10.6","37","9","3","0","0","0","0","16","91.2","5.7","0.0%"
"21","Tim Wright (FA)","26","33","259","10.0","30","3","6","1","-2","0","0","16","74.7","4.7","0.0%"
"22","Niles Paul (FA)","39","52","507","13.0","50","7","1","0","0","0","1","16","74.2","4.6","0.0%"
"23","Jordan Reed (FA)","50","65","465","9.3","30","4","0","0","0","0","1","11","69.5","6.3","19.0%"
"24","Lance Kendricks (FA)","27","38","259","9.6","23","3","5","0","0","0","0","16","69.4","4.3","0.0%"
"25","Jordan Cameron (FA)","24","48","424","17.7","81","8","2","0","0","0","0","10","66.4","6.6","0.1%"
"26","Jace Amaro (FA)","38","53","345","9.1","43","4","2","0","0","0","0","14","65.5","4.7","0.2%"
"27","Luke Willson (FA)","22","40","362","16.5","80","7","3","0","0","0","0","15","65.2","4.3","0.0%"
"28","Andrew Quarless (FA)","29","46","323","11.1","34","3","3","0","0","0","0","16","64.8","4.1","0.0%"
"29","John Carlson (FA)","33","55","350","10.6","32","4","1","0","0","0","0","16","59.5","3.7","0.0%"
"30","Anthony Fasano (FA)","25","36","226","9.0","22","2","4","0","0","0","0","15","59.1","3.9","0.1%"
"31","Josh Hill (FA)","14","20","176","12.6","37","2","5","0","0","0","0","16","54.6","3.4","0.0%"
"32","Jeff Cumberland (FA)","23","47","247","10.7","28","4","3","0","0","0","0","16","54.2","3.4","0.0%"
"33","Brent Celek (FA)","32","51","340","10.6","37","6","1","0","0","0","1","16","54.0","3.4","0.0%"
"34","Dion Sims (FA)","24","36","284","11.8","38","3","2","0","0","0","0","14","52.4","3.7","0.0%"
"35","Vernon Davis (FA)","26","50","245","9.4","29","2","2","1","4","0","0","14","49.9","3.6","1.6%"
"36","Levine Toilolo (FA)","31","53","238","7.7","20","1","2","0","0","0","1","16","49.3","3.1","0.0%"
"37","Daniel Fells (FA)","16","20","188","11.8","27","3","4","0","0","0","1","16","48.8","3.1","0.0%"
